Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Revenue_in Thousands
2068,Men,Running,Free RN,Unknown,4.0,2553.29,0.0,0.0,2024/12/05,Retail,Mumbai,984.9,0.0
2069,Women,Training,SuperRep Go,Unknown,0.0,7502.24,0.0,0.0,2025-07-14,Online,Pune,3554.58,0.0
2071,Kids,Lifestyle,Blazer Mid,M,3.0,7849.81,0.49,12010.21,2025/01/12,Retail,Pune,-882.96,12.010209999999999
2073,Women,Lifestyle,Blazer Mid,12,4.0,6110.030000000001,0.85,0.0,03-11-2024,Online,Hyderabad,443.86,0.0
2075,Kids,Basketball,Air Jordan,L,4.0,4251.74,0.0,0.0,2025/07/14,Online,Pune,2345.35,0.0
2076,Women,Training,ZoomX Invincible,11,0.0,6110.030000000001,0.0,0.0,13-10-2024,Retail,Bangalore,2011.25,0.0
2077,Men,Training,ZoomX Invincible,L,0.0,6110.030000000001,0.0,0.0,2023-11-21,Online,Pune,3332.66,0.0
2079,Men,Running,Pegasus Turbo,XL,-1.0,4322.06,0.0,0.0,2025/01/19,Online,Bangalore,279.78,0.0
2080,Men,Lifestyle,Blazer Mid,L,0.0,6110.030000000001,0.0,0.0,2025-03-31,Online,Bangalore,-1005.89,0.0
2028,Men,Running,Free RN,Unknown,-1.0,6110.030000000001,0.21,0.0,2024-02-14,Online,Hyderabad,3303.01,0.0
2083,Men,Running,Free RN,Unknown,0.0,9291.74,0.0,0.0,14-10-2024,Retail,Delhi,-981.21,0.0
2084,Men,Training,Metcon 7,M,2.0,6110.030000000001,0.0,0.0,2023-12-24,Online,Mumbai,408.39,0.0
2085,Men,Basketball,Kyrie Flytrap,Unknown,0.0,7561.85,0.0,0.0,2024/12/17,Retail,Kolkata,98.72,0.0
2086,Men,Soccer,Mercurial Superfly,L,0.0,6110.030000000001,0.45,0.0,2024-10-11,Online,Kolkata,1742.66,0.0
2087,Kids,Basketball,Zoom Freak,Unknown,0.0,4656.28,0.0,0.0,2024/11/01,Online,Kolkata,3777.5,0.0
2088,Women,Running,Free RN,XL,4.0,6110.030000000001,0.0,0.0,26-04-2025,Online,Bangalore,2702.93,0.0
2089,Women,Training,Flex Trainer,L,2.0,6874.77,0.6,5499.82,02-12-2024,Online,Mumbai,-1076.66,5.49982
2094,Kids,Training,Flex Trainer,10,1.0,4276.36,0.0,0.0,10-11-2024,Retail,Delhi,2974.58,0.0
2095,Men,Lifestyle,Waffle One,M,0.0,6110.030000000001,0.0,0.0,16-10-2024,Online,Delhi,880.57,0.0
2096,Men,Running,Pegasus Turbo,XL,2.0,6110.030000000001,0.0,0.0,24-12-2024,Online,Kolkata,288.66,0.0
2098,Men,Training,ZoomX Invincible,L,0.0,5690.69,0.69,0.0,2024-01-24,Online,Hyderabad,98.3,0.0
2099,Kids,Soccer,Mercurial Superfly,M,2.0,6110.030000000001,0.32,0.0,01-02-2025,Retail,Mumbai,360.97,0.0
2100,Kids,Soccer,Phantom GT,8,1.0,5937.52,0.0,0.0,2025-07-11,Retail,Mumbai,2287.57,0.0
2101,Kids,Running,Free RN,XL,0.0,2010.07,0.0,0.0,2025/07/03,Online,Hyderabad,3398.01,0.0
2102,Women,Soccer,Mercurial Superfly,XL,-1.0,6110.030000000001,0.77,0.0,10-04-2025,Online,Pune,284.17,0.0
2103,Women,Basketball,LeBron 20,XL,-1.0,6777.88,0.0,0.0,2025/01/08,Online,Kolkata,469.61,0.0
2105,Kids,Training,Metcon 7,Unknown,2.0,5744.7,0.0,0.0,17-11-2024,Retail,Mumbai,1716.04,0.0
2107,Women,Running,React Infinity,M,4.0,6110.030000000001,0.0,0.0,2024/08/30,Online,Hyderabad,-184.69,0.0
2108,Kids,Lifestyle,Air Force 1,XL,0.0,6110.030000000001,0.27,0.0,15-11-2024,Retail,Mumbai,-338.77,0.0
2109,Kids,Basketball,Zoom Freak,M,0.0,6110.030000000001,0.0,0.0,29-01-2025,Retail,Kolkata,3791.88,0.0
2110,Kids,Running,Air Zoom,12,1.0,6110.030000000001,0.42,0.0,2024-12-25,Retail,Pune,-259.29,0.0
2111,Men,Lifestyle,Waffle One,Unknown,0.0,6110.030000000001,1.14,0.0,2024/11/21,Retail,Bangalore,1326.67,0.0
2113,Women,Basketball,Air Jordan,XL,0.0,3939.34,0.0,0.0,2023-12-19,Retail,Pune,2918.93,0.0
2116,Women,Basketball,LeBron 20,Unknown,0.0,4038.32,1.13,0.0,2024/08/27,Online,Hyderabad,2088.55,0.0
2117,Women,Training,SuperRep Go,L,0.0,7645.96,0.0,0.0,2024-10-30,Online,Pune,2037.43,0.0
2118,Kids,Basketball,Zoom Freak,XL,2.0,8426.54,0.0,0.0,2023-09-21,Online,Hyderabad,2696.85,0.0
2119,Women,Training,Metcon 7,11,-1.0,6110.030000000001,0.41,0.0,05-04-2025,Retail,Kolkata,2887.81,0.0
2120,Men,Soccer,Phantom GT,12,0.0,6110.030000000001,0.0,0.0,14-12-2024,Retail,Pune,-328.0,0.0
2000,Kids,Running,React Infinity,M,-1.0,6110.030000000001,0.0,0.0,2023-11-20,Retail,Kolkata,929.75,0.0
2123,Men,Running,Air Zoom,L,0.0,6110.030000000001,0.0,0.0,15-09-2024,Retail,Hyderabad,2195.52,0.0
2124,Kids,Basketball,Kyrie Flytrap,L,0.0,6436.11,1.24,0.0,04-07-2025,Online,Kolkata,432.04,0.0
2125,Women,Soccer,Tiempo Legend,M,0.0,6110.030000000001,0.0,0.0,10-12-2024,Retail,Hyderabad,1051.22,0.0
2126,Kids,Running,Pegasus Turbo,L,-1.0,5399.58,0.0,0.0,2024/12/14,Retail,Pune,2508.34,0.0
2127,Men,Training,Metcon 7,L,-1.0,4020.5,0.0,0.0,2023-08-19,Online,Mumbai,3718.37,0.0
2130,Men,Soccer,Premier III,10,3.0,6110.030000000001,0.24,0.0,14-09-2024,Online,Bangalore,2962.75,0.0
2133,Men,Training,Metcon 7,XL,0.0,6789.53,0.0,0.0,2024/10/10,Retail,Pune,-166.81,0.0
2134,Men,Training,ZoomX Invincible,M,0.0,4738.62,0.0,0.0,06-08-2024,Online,Hyderabad,1009.28,0.0
2135,Men,Basketball,Zoom Freak,L,2.0,9106.61,0.74,4735.44,2024-11-03,Retail,Hyderabad,2422.38,4.73544
2136,Kids,Training,ZoomX Invincible,L,1.0,6110.030000000001,0.0,0.0,2024-09-15,Online,Pune,3672.24,0.0
2137,Men,Soccer,Phantom GT,Unknown,0.0,5222.02,0.95,0.0,2025/01/12,Online,Delhi,1796.76,0.0
2138,Men,Running,Pegasus Turbo,11,2.0,8055.2,0.0,0.0,14-06-2025,Online,Mumbai,1840.09,0.0
2139,Women,Basketball,Air Jordan,M,0.0,6110.030000000001,0.0,0.0,2025/06/19,Retail,Mumbai,-334.52,0.0
2140,Men,Basketball,Zoom Freak,M,0.0,6765.74,0.0,0.0,28-04-2025,Online,Bangalore,-875.45,0.0
2141,Kids,Soccer,Tiempo Legend,Unknown,0.0,6110.030000000001,1.1,0.0,2023-11-22,Retail,Kolkata,-1032.47,0.0
2142,Kids,Soccer,Mercurial Superfly,Unknown,0.0,6110.030000000001,0.0,0.0,2024-10-03,Retail,Kolkata,-995.59,0.0
2143,Kids,Training,ZoomX Invincible,L,-1.0,6110.030000000001,0.0,0.0,2025/03/10,Online,Delhi,1006.66,0.0
2144,Women,Lifestyle,Waffle One,Unknown,4.0,6110.030000000001,0.0,0.0,30-03-2025,Online,Kolkata,2385.1,0.0
2145,Men,Lifestyle,Blazer Mid,6,0.0,6110.030000000001,0.67,0.0,2024/07/30,Online,Bangalore,1335.45,0.0
2146,Kids,Basketball,Air Jordan,XL,0.0,6110.030000000001,1.12,0.0,2025/02/15,Retail,Mumbai,-908.85,0.0
2147,Women,Soccer,Phantom GT,XL,-1.0,6110.030000000001,0.0,0.0,2024-09-14,Online,Hyderabad,-426.53,0.0
2148,Men,Basketball,Kyrie Flytrap,Unknown,0.0,6110.030000000001,0.0,0.0,2025/06/19,Online,Hyderabad,520.55,0.0
2149,Women,Running,Pegasus Turbo,Unknown,0.0,6110.030000000001,0.0,0.0,2025/05/20,Online,Kolkata,-595.69,0.0
2150,Women,Basketball,LeBron 20,M,2.0,3313.21,0.48,3445.74,06-07-2025,Online,Bangalore,3221.62,3.44574
2151,Kids,Soccer,Tiempo Legend,L,4.0,5619.75,0.0,0.0,2025-05-27,Online,Bangalore,2000.85,0.0
2153,Men,Running,React Infinity,Unknown,0.0,6110.030000000001,0.09,0.0,2024/08/18,Retail,Pune,1246.58,0.0
2154,Kids,Lifestyle,Blazer Mid,XL,0.0,2963.16,0.0,0.0,2025-04-01,Online,Bangalore,2381.85,0.0
2156,Men,Soccer,Tiempo Legend,M,0.0,6110.030000000001,0.0,0.0,31-08-2024,Online,Pune,-286.07,0.0
2157,Kids,Soccer,Premier III,Unknown,1.0,6110.030000000001,0.0,0.0,2025/04/29,Online,Delhi,-701.01,0.0
2158,Women,Running,React Infinity,M,-1.0,6110.030000000001,0.5,0.0,28-01-2025,Online,Mumbai,514.79,0.0
2160,Kids,Running,Air Zoom,XL,0.0,6110.030000000001,0.0,0.0,2025-03-01,Retail,Mumbai,3744.91,0.0
2163,Men,Lifestyle,Dunk Low,7,0.0,6110.030000000001,1.24,0.0,2025/03/06,Retail,Hyderabad,3344.98,0.0
2164,Women,Soccer,Mercurial Superfly,8,0.0,6110.030000000001,0.95,0.0,23-10-2024,Online,Pune,-872.9,0.0
2165,Kids,Training,SuperRep Go,L,4.0,4577.65,0.0,0.0,2024/11/11,Retail,Kolkata,2460.19,0.0
2166,Women,Lifestyle,Air Force 1,M,0.0,7312.38,0.0,0.0,01-02-2025,Online,Mumbai,3364.05,0.0
2168,Women,Running,Pegasus Turbo,Unknown,0.0,6110.030000000001,0.85,0.0,2024-08-01,Retail,Kolkata,3011.49,0.0
2169,Kids,Training,Flex Trainer,Unknown,4.0,4046.05,0.01,16022.36,2024/12/14,Retail,Delhi,1057.58,16.02236
2170,Kids,Lifestyle,Air Force 1,M,0.0,6110.030000000001,0.0,0.0,2025/06/28,Online,Kolkata,3218.82,0.0
2022,Women,Lifestyle,Air Force 1,L,0.0,9378.52,1.06,0.0,2023-10-29,Retail,Mumbai,128.92,0.0
2172,Women,Training,ZoomX Invincible,M,0.0,7988.99,1.2,0.0,2024/12/17,Online,Bangalore,-909.86,0.0
2173,Men,Running,Free RN,L,-1.0,6620.78,0.0,0.0,29-03-2025,Online,Bangalore,3770.03,0.0
2176,Men,Soccer,Mercurial Superfly,Unknown,4.0,6110.030000000001,0.0,0.0,04-01-2025,Online,Bangalore,3908.28,0.0
2177,Women,Lifestyle,Waffle One,XL,0.0,6110.030000000001,0.0,0.0,2025-06-27,Retail,Mumbai,885.37,0.0
2178,Men,Running,Free RN,Unknown,1.0,6110.030000000001,0.0,0.0,28-10-2024,Retail,Bangalore,-983.37,0.0
2179,Women,Training,ZoomX Invincible,M,3.0,6110.030000000001,0.0,0.0,2024-01-26,Retail,Pune,3135.92,0.0
2180,Women,Basketball,LeBron 20,XL,0.0,6110.030000000001,0.0,0.0,2024-05-15,Online,Pune,2189.84,0.0
2181,Women,Lifestyle,Air Force 1,XL,2.0,6110.030000000001,0.0,0.0,2025/01/06,Retail,Delhi,419.58,0.0
2185,Women,Training,ZoomX Invincible,XL,4.0,4207.44,0.59,6900.2,2025/06/08,Online,Kolkata,-615.48,6.9002
2187,Men,Running,React Infinity,L,0.0,7795.32,0.0,0.0,09-11-2024,Online,Mumbai,2402.99,0.0
2189,Men,Training,SuperRep Go,L,3.0,6110.030000000001,0.9,0.0,2024/10/02,Online,Hyderabad,3628.46,0.0
2191,Men,Lifestyle,Air Force 1,8,3.0,6110.030000000001,0.0,0.0,2024/09/28,Retail,Pune,-1032.88,0.0
2192,Men,Basketball,Kyrie Flytrap,XL,-1.0,6110.030000000001,0.0,0.0,2023-10-13,Retail,Delhi,554.91,0.0
2193,Women,Lifestyle,Waffle One,XL,-1.0,6110.030000000001,1.24,0.0,2025-01-17,Retail,Delhi,1803.66,0.0
2194,Men,Soccer,Mercurial Superfly,M,0.0,6196.01,0.0,0.0,27-10-2024,Online,Hyderabad,926.03,0.0
2196,Kids,Soccer,Premier III,L,2.0,2708.73,0.0,0.0,2025-06-30,Online,Delhi,925.63,0.0
2197,Kids,Training,ZoomX Invincible,L,3.0,6110.030000000001,0.0,0.0,2024-10-06,Online,Bangalore,-418.5,0.0
2198,Men,Training,SuperRep Go,7,4.0,6110.030000000001,0.65,0.0,2025/01/05,Online,Pune,-169.33,0.0
2201,Women,Training,SuperRep Go,11,0.0,6110.030000000001,0.0,0.0,2024-05-10,Online,Mumbai,1403.56,0.0
2202,Men,Basketball,Kyrie Flytrap,M,-1.0,7918.93,1.06,475.14,2025/07/04,Retail,Bangalore,1994.42,0.47514
2204,Men,Basketball,LeBron 20,7,0.0,7660.41,0.0,0.0,2025/05/17,Online,Delhi,2076.75,0.0
2205,Women,Running,React Infinity,XL,0.0,6110.030000000001,0.0,0.0,24-04-2025,Retail,Pune,-467.52,0.0
2209,Kids,Training,SuperRep Go,Unknown,0.0,6110.030000000001,0.0,0.0,2024/09/01,Retail,Hyderabad,1956.7,0.0
2210,Men,Lifestyle,Blazer Mid,XL,0.0,6110.030000000001,0.0,0.0,09-08-2024,Retail,Kolkata,701.02,0.0
2000,Kids,Training,Metcon 7,Unknown,4.0,6110.030000000001,0.94,0.0,2024-02-27,Retail,Bangalore,2372.82,0.0
2212,Women,Lifestyle,Blazer Mid,L,0.0,7670.82,0.0,0.0,2024/09/23,Online,Kolkata,-87.95,0.0
2215,Men,Basketball,Zoom Freak,XL,3.0,6110.030000000001,0.36,0.0,2024/12/16,Online,Kolkata,3254.06,0.0
2217,Women,Lifestyle,Waffle One,L,0.0,6110.030000000001,0.0,0.0,2025/04/15,Retail,Delhi,2190.84,0.0
2220,Kids,Training,SuperRep Go,M,0.0,6110.030000000001,0.0,0.0,2024/09/09,Online,Kolkata,890.14,0.0
2221,Kids,Lifestyle,Waffle One,L,2.0,3375.97,0.0,0.0,2024-01-06,Retail,Mumbai,-297.05,0.0
2222,Men,Training,ZoomX Invincible,XL,2.0,8897.19,0.11,15837.0,2024-12-21,Retail,Mumbai,2821.69,15.837
2223,Kids,Training,Flex Trainer,M,-1.0,9180.15,0.0,0.0,2025-02-15,Online,Kolkata,799.28,0.0
2224,Kids,Lifestyle,Dunk Low,Unknown,-1.0,6110.030000000001,0.12,0.0,24-09-2024,Online,Pune,3278.7,0.0
2226,Women,Basketball,Zoom Freak,Unknown,0.0,6110.030000000001,0.31,0.0,2025/06/28,Online,Delhi,-131.04,0.0
2228,Kids,Basketball,Zoom Freak,Unknown,0.0,9382.15,0.0,0.0,2024/08/22,Online,Kolkata,-127.34,0.0
2229,Men,Running,Air Zoom,XL,0.0,7143.23,0.0,0.0,2025/03/26,Retail,Mumbai,3284.36,0.0
2231,Kids,Training,Flex Trainer,9,0.0,6110.030000000001,1.05,0.0,2025-01-04,Online,Bangalore,-39.48,0.0
2232,Women,Running,Free RN,XL,0.0,2149.28,0.32,0.0,2024/11/17,Online,Kolkata,2409.87,0.0
2234,Men,Training,Flex Trainer,Unknown,4.0,6189.1,1.12,-2970.77,2024-12-21,Retail,Bangalore,2085.62,-2.97077
2042,Men,Basketball,Kyrie Flytrap,10,1.0,5254.47,0.0,0.0,26-02-2025,Retail,Bangalore,2459.63,0.0
2237,Kids,Training,Metcon 7,M,0.0,5089.88,0.0,0.0,2025/06/26,Online,Mumbai,-238.18,0.0
2239,Men,Training,SuperRep Go,XL,0.0,6110.030000000001,0.0,0.0,2024/08/04,Online,Kolkata,1750.71,0.0
2240,Kids,Basketball,Air Jordan,M,0.0,9520.5,0.48,0.0,2025/01/22,Retail,Kolkata,-928.85,0.0
2241,Women,Soccer,Tiempo Legend,12,0.0,9662.04,0.0,0.0,2025/02/19,Online,Hyderabad,-233.74,0.0
2243,Men,Lifestyle,Blazer Mid,L,0.0,9747.58,0.0,0.0,07-11-2024,Retail,Delhi,266.31,0.0
2245,Kids,Running,React Infinity,Unknown,0.0,4128.35,0.0,0.0,16-04-2025,Online,Pune,-290.33,0.0
2246,Kids,Basketball,LeBron 20,L,-1.0,7806.98,0.0,0.0,02-10-2024,Online,Hyderabad,-943.35,0.0
2247,Women,Training,Metcon 7,Unknown,0.0,6110.030000000001,0.0,0.0,16-08-2024,Online,Mumbai,-1158.15,0.0
2248,Men,Training,Metcon 7,M,4.0,8249.96,0.24,25079.88,2024-01-16,Online,Bangalore,1625.14,25.07988
2249,Men,Training,Flex Trainer,M,0.0,7730.77,0.0,0.0,2024-05-28,Online,Delhi,-692.94,0.0
2250,Men,Basketball,Kyrie Flytrap,XL,0.0,6110.030000000001,0.0,0.0,2024-10-01,Retail,Pune,821.13,0.0
2046,Men,Basketball,Air Jordan,Unknown,2.0,9593.65,0.0,0.0,11-01-2025,Online,Hyderabad,1592.5,0.0
2253,Men,Training,Flex Trainer,M,0.0,6110.030000000001,0.0,0.0,18-05-2025,Online,Bangalore,1516.72,0.0
2254,Women,Basketball,LeBron 20,M,0.0,6110.030000000001,0.89,0.0,24-04-2025,Online,Hyderabad,1642.0,0.0
2255,Kids,Basketball,LeBron 20,XL,0.0,2222.55,0.84,0.0,2025/04/06,Retail,Mumbai,586.56,0.0
2256,Men,Soccer,Phantom GT,Unknown,0.0,6110.030000000001,0.0,0.0,2025/03/30,Online,Hyderabad,3175.83,0.0
2257,Men,Basketball,Kyrie Flytrap,XL,1.0,6110.030000000001,0.0,0.0,2025/02/09,Online,Mumbai,-365.42,0.0
2258,Women,Lifestyle,Dunk Low,L,0.0,6110.030000000001,0.39,0.0,2023-11-21,Online,Mumbai,2824.7,0.0
2259,Women,Soccer,Mercurial Superfly,M,0.0,6110.030000000001,0.0,0.0,2024/10/20,Retail,Delhi,2323.89,0.0
2260,Women,Lifestyle,Dunk Low,M,2.0,6110.030000000001,0.0,0.0,2024/12/12,Retail,Pune,-352.18,0.0
2261,Women,Training,ZoomX Invincible,Unknown,0.0,2503.6,0.54,0.0,04-10-2024,Retail,Pune,1574.74,0.0
2262,Women,Running,Pegasus Turbo,L,0.0,6110.030000000001,0.0,0.0,2024-09-15,Retail,Pune,3146.93,0.0
2263,Women,Soccer,Premier III,M,0.0,5172.14,0.0,0.0,2024/10/08,Online,Kolkata,2510.55,0.0
2264,Men,Training,ZoomX Invincible,Unknown,4.0,5622.32,1.08,-1799.14,2024-04-22,Retail,Bangalore,1248.25,-1.7991400000000002
2265,Women,Soccer,Premier III,7,0.0,2422.97,0.0,0.0,2024/11/23,Retail,Delhi,-67.74,0.0
2266,Women,Basketball,LeBron 20,L,0.0,6110.030000000001,0.0,0.0,19-07-2025,Retail,Kolkata,3475.59,0.0
2267,Women,Running,Air Zoom,M,-1.0,3075.72,0.0,0.0,2024-12-20,Retail,Kolkata,238.78,0.0
2268,Men,Soccer,Mercurial Superfly,M,3.0,7330.81,0.0,0.0,2023-11-16,Online,Kolkata,518.71,0.0
2269,Women,Training,ZoomX Invincible,11,4.0,6424.32,0.0,0.0,2024-07-14,Retail,Mumbai,-405.26,0.0
2270,Men,Running,React Infinity,XL,1.0,6110.030000000001,1.03,0.0,06-06-2025,Retail,Pune,3088.25,0.0
2271,Kids,Lifestyle,Waffle One,9,0.0,5116.58,0.07,0.0,2024-05-03,Retail,Delhi,1293.94,0.0
2038,Women,Training,ZoomX Invincible,XL,1.0,7338.57,0.0,0.0,21-10-2024,Retail,Delhi,3680.24,0.0
2273,Kids,Running,Free RN,M,-1.0,4004.36,0.0,0.0,2024-01-30,Online,Kolkata,-614.66,0.0
2274,Women,Training,Metcon 7,6,4.0,6110.030000000001,0.45,0.0,2025/06/13,Online,Bangalore,2561.89,0.0
2275,Kids,Running,Pegasus Turbo,M,-1.0,6110.030000000001,0.0,0.0,03-07-2025,Online,Pune,-783.71,0.0
2276,Kids,Lifestyle,Air Force 1,L,-1.0,6066.5,0.0,0.0,2023-08-29,Retail,Kolkata,1181.87,0.0
2277,Kids,Basketball,LeBron 20,M,0.0,3682.84,0.0,0.0,2024/12/28,Online,Hyderabad,3967.77,0.0
2278,Men,Training,SuperRep Go,11,0.0,6110.030000000001,1.22,0.0,07-03-2025,Retail,Pune,3638.15,0.0
2279,Women,Lifestyle,Blazer Mid,6,0.0,6110.030000000001,0.0,0.0,2024-08-03,Retail,Mumbai,766.72,0.0
2280,Women,Soccer,Mercurial Superfly,M,-1.0,6110.030000000001,0.0,0.0,2025/02/13,Online,Delhi,3069.57,0.0
2281,Kids,Lifestyle,Waffle One,M,2.0,6110.030000000001,0.0,0.0,2025-07-13,Retail,Kolkata,1753.48,0.0
2282,Men,Running,Free RN,Unknown,0.0,6110.030000000001,0.26,0.0,14-11-2024,Retail,Mumbai,-1002.46,0.0
